"","0 to 9","10 to 19","20 to 29","30 to 39","40 to 49","50 to 59","60 to 69","70+"
"Adjuntas",27,56,68,70,65,70,45,35
"Aguada",48,100,182,180,169,161,90,108
"Aguadilla",48,70,134,135,187,144,94,49
"Aguas Buenas",59,96,174,119,163,102,109,72
"Aibonito",20,40,91,100,61,81,40,35
"Añasco",28,50,99,83,92,81,61,72
"Arecibo",193,265,551,516,505,435,293,287
"Arroyo",21,19,43,39,36,35,12,21
"Barceloneta",19,51,131,88,99,76,48,36
"Barranquitas",68,109,222,172,164,144,101,65
"Bayamón",429,734,1642,1683,1412,1458,837,769
"Cabo Rojo",27,55,141,115,127,103,52,81
"Caguas",298,481,1119,1026,921,799,519,491
"Camuy",50,99,164,128,208,186,109,84
"Canóvanas",62,100,225,208,260,193,93,84
"Carolina",327,579,1263,1155,1110,1082,578,578
"Cataño",69,165,262,272,213,206,124,94
"Cayey",72,88,196,141,162,117,96,76
"Ceiba",13,4,19,32,17,30,16,8
"Ciales",38,54,135,92,118,78,53,65
"Cidra",44,78,110,121,124,122,83,78
"Coamo",30,46,138,162,181,102,76,58
"Comerío",38,61,116,75,137,90,59,77
"Corozal",88,148,272,237,283,200,136,91
"Dorado",44,121,146,220,237,218,126,76
"Fajardo",37,66,138,113,160,111,59,43
"Florida",26,55,64,64,78,54,35,50
"Guánica",12,29,44,47,66,40,10,21
"Guayama",27,67,116,95,117,111,58,64
"Guayanilla",16,29,44,25,39,39,22,18
"Guaynabo",161,237,512,473,517,509,336,296
"Gurabo",62,126,198,155,211,240,126,101
"Hatillo",54,62,144,173,133,159,127,96
"Hormigueros",16,43,78,49,93,73,33,22
"Humacao",93,120,252,245,248,213,137,100
"Isabela",65,133,150,158,178,177,93,99
"Jayuya",27,24,41,39,53,37,41,14
"Juana Díaz",64,132,183,169,211,141,83,72
"Juncos",122,151,263,278,336,213,142,107
"Lajas",12,18,39,40,29,36,18,19
"Lares",40,43,89,91,73,91,67,46
"Las Marías",9,8,30,19,13,25,16,9
"Las Piedras",58,79,161,154,175,138,114,63
"Loiza",38,81,92,144,127,115,69,31
"Luquillo",18,41,59,42,49,71,33,34
"Manatí",64,83,165,182,160,169,101,119
"Maricao",1,12,20,38,20,19,10,4
"Maunabo",12,22,29,44,39,41,26,16
"Mayagüez",77,125,227,190,218,189,124,136
"Moca",82,135,200,205,218,197,131,78
"Morovis",83,89,164,163,147,134,93,65
"Naguabo",27,61,114,130,120,86,56,47
"Naranjito",79,118,209,200,175,203,110,96
"Orocovis",51,66,95,97,69,99,46,49
"Patillas",36,24,49,52,37,40,39,31
"Peñuelas",28,38,52,47,41,53,49,23
"Ponce",128,184,352,384,370,309,193,206
"Quebradillas",41,46,85,114,114,83,67,42
"Rincón",20,25,57,73,68,48,54,34
"Rio Grande",65,100,197,221,200,216,128,90
"Sabana Grande",11,28,35,26,33,33,17,12
"Salinas",37,72,73,87,97,108,54,59
"San Germán",39,42,73,61,86,80,48,45
"San Juan",767,1405,3364,3372,3111,3073,1837,1621
"San Lorenzo",58,85,171,197,176,127,80,101
"San Sebastián",71,71,229,131,211,160,89,119
"Santa Isabel",17,35,58,59,79,36,24,12
"Toa Alta",163,275,539,435,499,522,299,189
"Toa Baja",172,243,635,544,649,512,335,264
"Trujillo Alto",90,169,406,323,356,340,179,154
"Utuado",62,68,125,116,93,93,78,69
"Vega Alta",69,120,247,242,212,184,123,106
"Vega Baja",145,170,383,387,342,325,172,222
"Villalba",74,70,132,98,104,101,56,74
"Yabucoa",48,66,136,94,122,122,61,76
"Yauco",47,57,103,128,136,143,60,77
